Modules loaded....
Namespace(augment=True, batch_size=128, cpu=False, data_set='cifar10', epochs=300, lr=0.1, model='AlexNet', momentum=0.6, name='exp1', nesterov=False, print_freq=10, resume='', seed=1, start_epoch=0, tensorboard=True, weight_decay=0.0)
Tensorboard:  True
Files already downloaded and verified
Number of model parameters: 23238474
using : SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.6
    nesterov: False
    weight_decay: 0.0
)
Epoch: [2][340/391]	Time 0.022 (0.023)	Loss 1.2858 (1.3795)	Prec@1 50.781 (49.686)
Epoch: [2][350/391]	Time 0.022 (0.023)	Loss 1.1536 (1.3750)	Prec@1 56.250 (49.849)
Epoch: [2][360/391]	Time 0.021 (0.022)	Loss 1.1740 (1.3729)	Prec@1 57.812 (49.933)
Epoch: [2][370/391]	Time 0.022 (0.022)	Loss 1.3359 (1.3700)	Prec@1 53.125 (50.027)
Epoch: [2][380/391]	Time 0.021 (0.022)	Loss 1.0748 (1.3658)	Prec@1 64.844 (50.234)
Epoch: [2][390/391]	Time 0.013 (0.022)	Loss 1.1135 (1.3621)	Prec@1 56.250 (50.406)
Test: [0/79]	Time 0.057 (0.057)	Loss 1.1210 (1.1210)	Prec@1 59.375 (59.375)
Test: [10/79]	Time 0.017 (0.021)	Loss 1.1221 (1.1578)	Prec@1 64.062 (59.233)
Test: [20/79]	Time 0.017 (0.019)	Loss 0.9610 (1.1775)	Prec@1 64.844 (58.817)
Test: [30/79]	Time 0.018 (0.019)	Loss 1.2540 (1.1603)	Prec@1 55.469 (59.224)
Test: [40/79]	Time 0.017 (0.018)	Loss 1.3110 (1.1571)	Prec@1 53.125 (59.299)
Test: [50/79]	Time 0.017 (0.018)	Loss 1.1975 (1.1592)	Prec@1 60.938 (59.069)
Test: [60/79]	Time 0.017 (0.018)	Loss 1.1589 (1.1574)	Prec@1 60.938 (59.106)
Test: [70/79]	Time 0.018 (0.018)	Loss 1.0406 (1.1615)	Prec@1 63.281 (58.803)
 * Prec@1 58.620
Epoch: [3][0/391]	Time 0.081 (0.081)	Loss 1.2698 (1.2698)	Prec@1 54.688 (54.688)
Epoch: [3][10/391]	Time 0.023 (0.028)	Loss 1.0798 (1.1666)	Prec@1 61.719 (57.102)
Epoch: [3][20/391]	Time 0.023 (0.025)	Loss 1.2036 (1.1922)	Prec@1 58.594 (56.101)
Epoch: [3][30/391]	Time 0.022 (0.025)	Loss 1.1277 (1.2075)	Prec@1 64.062 (56.275)
Epoch: [3][40/391]	Time 0.023 (0.024)	Loss 1.1485 (1.1951)	Prec@1 57.031 (56.707)
